Date,Home,Away,League
2026-08-29,Walsall,Accrington Stanley,League 2
2026-08-29,York City,Exeter City,League 2
2026-08-15,Aldershot Town,Hartlepool United,National League
2026-08-15,Barrow,Hornchurch,National League
2026-08-15,FC Halifax Town,Boreham Wood,National League
2026-08-15,Gateshead,Woking,National League
2026-08-15,Kidderminster Harriers,Eastleigh,National League
2026-08-15,Solihull Moors,Boston United,National League
2026-08-15,Southend United,Scunthorpe United,National League
2026-08-15,Sutton United,Altrincham,National League
2026-08-15,Tamworth,AFC Fylde,National League
2026-08-15,Wealdstone,Harrogate Town,National League
2026-08-15,Worthing,Forest Green Rovers,National League
2026-08-15,Yeovil Town,Carlisle United,National League
2026-08-22,Boston United,Altrincham,National League
2026-08-22,Carlisle United,Hornchurch,National League
2026-08-22,Eastleigh,Scunthorpe United,National League
2026-08-22,FC Halifax Town,Tamworth,National League
2026-08-22,Forest Green Rovers,Boreham Wood,National League
2026-08-22,Harrogate Town,Barrow,National League
2026-08-22,Kidderminster Harriers,Aldershot Town,National League
2026-08-22,Solihull Moors,Southend United,National League
2026-08-22,Sutton United,Hartlepool United,National League
2026-08-22,Woking,AFC Fylde,National League
2026-08-22,Worthing,Wealdstone,National League
2026-08-22,Yeovil Town,Gateshead,National League
2026-08-28,AFC Fylde,Forest Green Rovers,National League
2026-08-28,Aldershot Town,Harrogate Town,National League
2026-08-28,Altrincham,FC Halifax Town,National League
2026-08-28,Barrow,Yeovil Town,National League
2026-08-28,Boreham Wood,Boston United,National League
2026-08-28,Gateshead,Sutton United,National League
2026-08-28,Hartlepool United,Eastleigh,National League
2026-08-28,Hornchurch,Woking,National League
2026-08-28,Scunthorpe United,Solihull Moors,National League
2026-08-28,Southend United,Kidderminster Harriers,National League
2026-08-28,Tamworth,Worthing,National League
2026-08-28,Wealdstone,Carlisle United,National League
2026-08-31,Boston United,Hornchurch,National League
2026-08-31,Carlisle United,Scunthorpe United,National League
2026-08-31,Eastleigh,Aldershot Town,National League
2026-08-31,FC Halifax Town,Hartlepool United,National League
2026-08-31,Forest Green Rovers,Altrincham,National League
2026-08-31,Harrogate Town,Gateshead,National League
2026-08-31,Kidderminster Harriers,Barrow,National League
2026-08-31,Solihull Moors,AFC Fylde,National League
2026-08-31,Sutton United,Wealdstone,National League
2026-08-31,Woking,Southend United,National League
2026-08-31,Worthing,Boreham Wood,National League
2026-08-31,Yeovil Town,Tamworth,National League
2026-08-22,Dundee United,Dundee,Scottish Premier_League
2026-08-22,Hibernian,Kilmarnock,Scottish Premier_League
2026-08-22,Motherwell,Aberdeen,Scottish Premier_League
2026-08-29,Celtic,Falkirk,Scottish Premier_League
2026-08-29,Dundee,Hibernian,Scottish Premier_League
2026-08-29,Heart of Midlothian,St Johnstone,Scottish Premier_League
2026-08-29,Kilmarnock,Dundee United,Scottish Premier_League
2026-08-29,St Mirren,Motherwell,Scottish Premier_League
2026-08-30,Aberdeen,Rangers,Scottish Premier_League
2026-08-21,Inverness Caledonian Thistle,Partick Thistle,Scottish Championship
2026-08-22,Greenock Morton,Arbroath,Scottish Championship
2026-08-22,Livingston,Dunfermline Athletic,Scottish Championship
2026-08-22,Queens Park,Stenhousemuir,Scottish Championship
2026-08-22,Raith Rovers,Ayr United,Scottish Championship
2026-08-28,Dunfermline Athletic,Raith Rovers,Scottish Championship
2026-08-29,Arbroath,Livingston,Scottish Championship
2026-08-29,Ayr United,Greenock Morton,Scottish Championship
2026-08-29,Partick Thistle,Queens Park,Scottish Championship
2026-08-29,Stenhousemuir,Inverness Caledonian Thistle,Scottish Championship
2026-08-15,Alloa Athletic,Montrose,Scottish League_1
2026-08-15,East Kilbride,Cove Rangers,Scottish League_1
2026-08-15,Hamilton Academical,Airdrieonians,Scottish League_1
2026-08-15,Peterhead,East Fife,Scottish League_1
2026-08-22,Airdrieonians,Ross County,Scottish League_1
2026-08-22,Cove Rangers,Peterhead,Scottish League_1
2026-08-22,East Fife,Hamilton Academical,Scottish League_1
2026-08-22,Montrose,East Kilbride,Scottish League_1
2026-08-22,Queen of the South,Alloa Athletic,Scottish League_1
2026-08-29,Airdrieonians,East Fife,Scottish League_1
2026-08-29,Alloa Athletic,Peterhead,Scottish League_1
2026-08-29,Hamilton Academical,Cove Rangers,Scottish League_1
2026-08-29,Montrose,Queen of the South,Scottish League_1
2026-08-29,Ross County,East Kilbride,Scottish League_1
2026-08-15,Annan Athletic,Clyde,Scottish League_2
2026-08-15,Dumbarton,Edinburgh City,Scottish League_2
2026-08-15,Elgin City,Kelty Hearts,Scottish League_2
2026-08-15,Forfar Athletic,Stirling Albion,Scottish League_2
2026-08-15,Stranraer,Spartans,Scottish League_2
2026-08-22,Clyde,Forfar Athletic,Scottish League_2
2026-08-22,Edinburgh City,Annan Athletic,Scottish League_2
2026-08-22,Kelty Hearts,Dumbarton,Scottish League_2
2026-08-22,Spartans,Elgin City,Scottish League_2
2026-08-22,Stirling Albion,Stranraer,Scottish League_2
2026-08-28,Edinburgh City,Forfar Athletic,Scottish League_2
2026-08-29,Annan Athletic,Dumbarton,Scottish League_2
2026-08-29,Elgin City,Stirling Albion,Scottish League_2
2026-08-29,Spartans,Clyde,Scottish League_2
2026-08-29,Stranraer,Kelty Hearts,Scottish League_2
