Date,Home,Away,League
2026-09-04,Ipswich Town,Liverpool,Premier League
2026-09-05,Brentford,Sunderland,Premier League
2026-09-05,Brighton & Hove Albion,Leeds United,Premier League
2026-09-05,Fulham,Crystal Palace,Premier League
2026-09-05,Hull City,Aston Villa,Premier League
2026-09-05,Manchester City,Coventry City,Premier League
2026-09-05,Newcastle United,AFC Bournemouth,Premier League
2026-09-05,Nottingham Forest,Tottenham Hotspur,Premier League
2026-09-06,Arsenal,Chelsea,Premier League
2026-09-06,Everton,Manchester United,Premier League
2026-09-12,AFC Bournemouth,Brentford,Premier League
2026-09-12,Aston Villa,Nottingham Forest,Premier League
2026-09-12,Chelsea,Hull City,Premier League
2026-09-12,Crystal Palace,Ipswich Town,Premier League
2026-09-12,Liverpool,Fulham,Premier League
2026-09-12,Sunderland,Arsenal,Premier League
2026-09-12,Tottenham Hotspur,Everton,Premier League
2026-09-13,Coventry City,Brighton & Hove Albion,Premier League
2026-09-13,Manchester United,Manchester City,Premier League
2026-09-14,Leeds United,Newcastle United,Premier League
2026-09-18,Brentford,Chelsea,Premier League
2026-09-19,Brighton & Hove Albion,Arsenal,Premier League
2026-09-19,Everton,Ipswich Town,Premier League
2026-09-19,Leeds United,Crystal Palace,Premier League
2026-09-19,Newcastle United,Hull City,Premier League
2026-09-19,Nottingham Forest,Coventry City,Premier League
2026-09-19,Tottenham Hotspur,Aston Villa,Premier League
2026-09-20,AFC Bournemouth,Liverpool,Premier League
2026-09-20,Fulham,Manchester United,Premier League
2026-09-20,Manchester City,Sunderland,Premier League
2026-09-05,Burnley,Bristol City,Championship
2026-09-05,Lincoln City,Southampton,Championship
2026-09-05,Millwall,Bolton Wanderers,Championship
2026-09-05,Portsmouth,Cardiff City,Championship
2026-09-05,Preston North End,Blackburn Rovers,Championship
2026-09-05,Queens Park Rangers,Middlesbrough,Championship
2026-09-05,Sheffield United,Norwich City,Championship
2026-09-05,Stoke City,Charlton Athletic,Championship
2026-09-05,Swansea City,Wrexham,Championship
2026-09-05,West Bromwich Albion,Watford,Championship
2026-09-05,West Ham United,Derby County,Championship
2026-09-06,Birmingham City,Wolverhampton Wanderers,Championship
2026-09-11,West Ham United,Wrexham,Championship
2026-09-12,Blackburn Rovers,Millwall,Championship
2026-09-12,Bolton Wanderers,Cardiff City,Championship
2026-09-12,Charlton Athletic,Portsmouth,Championship
2026-09-12,Derby County,Birmingham City,Championship
2026-09-12,Middlesbrough,Norwich City,Championship
2026-09-12,Preston North End,Lincoln City,Championship
2026-09-12,Southampton,Bristol City,Championship
2026-09-12,Swansea City,Burnley,Championship
2026-09-12,Watford,Stoke City,Championship
2026-09-12,West Bromwich Albion,Queens Park Rangers,Championship
2026-09-13,Sheffield United,Wolverhampton Wanderers,Championship
2026-09-18,Bristol City,Watford,Championship
2026-09-19,Birmingham City,Middlesbrough,Championship
2026-09-19,Burnley,Derby County,Championship
2026-09-19,Cardiff City,Charlton Athletic,Championship
2026-09-19,Lincoln City,Swansea City,Championship
2026-09-19,Millwall,West Ham United,Championship
2026-09-19,Portsmouth,Blackburn Rovers,Championship
2026-09-19,Queens Park Rangers,Preston North End,Championship
2026-09-19,Stoke City,Sheffield United,Championship
2026-09-19,Wrexham,Southampton,Championship
2026-09-20,Norwich City,Bolton Wanderers,Championship
2026-09-20,Wolverhampton Wanderers,West Bromwich Albion,Championship
2026-09-05,Barnsley,Stevenage,League 1
2026-09-05,Bradford City,Mansfield Town,League 1
2026-09-05,Burton Albion,Cambridge United,League 1
2026-09-05,Doncaster Rovers,Plymouth Argyle,League 1
2026-09-05,Huddersfield Town,Notts County,League 1
2026-09-05,Leicester City,Oxford United,League 1
2026-09-05,Luton Town,Leyton Orient,League 1
2026-09-05,Peterborough United,Sheffield Wednesday,League 1
2026-09-05,Reading,Blackpool,League 1
2026-09-05,Wigan Athletic,Stockport County,League 1
2026-09-05,Wycombe Wanderers,Milton Keynes Dons,League 1
2026-09-07,Bromley,AFC Wimbledon,League 1
2026-09-12,AFC Wimbledon,Doncaster Rovers,League 1
2026-09-12,Blackpool,Bromley,League 1
2026-09-12,Cambridge United,Reading,League 1
2026-09-12,Leyton Orient,Wycombe Wanderers,League 1
2026-09-12,Mansfield Town,Huddersfield Town,League 1
2026-09-12,Milton Keynes Dons,Peterborough United,League 1
2026-09-12,Notts County,Bradford City,League 1
2026-09-12,Oxford United,Burton Albion,League 1
2026-09-12,Plymouth Argyle,Barnsley,League 1
2026-09-12,Sheffield Wednesday,Wigan Athletic,League 1
2026-09-12,Stockport County,Leicester City,League 1
2026-09-19,Barnsley,Leicester City,League 1
2026-09-19,Blackpool,Plymouth Argyle,League 1
2026-09-19,Bromley,Huddersfield Town,League 1
2026-09-19,Burton Albion,Mansfield Town,League 1
2026-09-19,Leyton Orient,Stevenage,League 1
2026-09-19,Luton Town,Bradford City,League 1
2026-09-19,Oxford United,Cambridge United,League 1
2026-09-19,Peterborough United,Doncaster Rovers,League 1
2026-09-19,Reading,Notts County,League 1
2026-09-19,Sheffield Wednesday,Stockport County,League 1
2026-09-19,Wigan Athletic,Wycombe Wanderers,League 1
2026-09-26,Bradford City,Barnsley,League 1
2026-09-26,Cambridge United,AFC Wimbledon,League 1
2026-09-26,Doncaster Rovers,Oxford United,League 1
2026-09-26,Huddersfield Town,Luton Town,League 1
2026-09-26,Leicester City,Wigan Athletic,League 1
2026-09-26,Mansfield Town,Leyton Orient,League 1
2026-09-26,Milton Keynes Dons,Bromley,League 1
2026-09-26,Notts County,Blackpool,League 1
2026-09-26,Plymouth Argyle,Burton Albion,League 1
2026-09-26,Stevenage,Sheffield Wednesday,League 1
2026-09-26,Stockport County,Peterborough United,League 1
2026-09-26,Wycombe Wanderers,Reading,League 1
2026-09-05,Accrington Stanley,Crawley Town,League 2
2026-09-05,Bristol Rovers,Rotherham United,League 2
2026-09-05,Cheltenham Town,Grimsby Town,League 2
2026-09-05,Chesterfield,Barnet,League 2
2026-09-05,Crewe Alexandra,York City,League 2
2026-09-05,Exeter City,Walsall,League 2
2026-09-05,Fleetwood Town,Shrewsbury Town,League 2
2026-09-05,Northampton Town,Newport County,League 2
2026-09-05,Rochdale,Gillingham,League 2
2026-09-05,Salford City,Port Vale,League 2
2026-09-05,Swindon Town,Colchester United,League 2
2026-09-05,Tranmere Rovers,Oldham Athletic,League 2
2026-09-12,Barnet,Accrington Stanley,League 2
2026-09-12,Colchester United,Crewe Alexandra,League 2
2026-09-12,Crawley Town,Cheltenham Town,League 2
2026-09-12,Gillingham,Tranmere Rovers,League 2
2026-09-12,Grimsby Town,Bristol Rovers,League 2
2026-09-12,Newport County,Fleetwood Town,League 2
2026-09-12,Oldham Athletic,Chesterfield,League 2
2026-09-12,Port Vale,Exeter City,League 2
2026-09-12,Rotherham United,Salford City,League 2
2026-09-12,Shrewsbury Town,Northampton Town,League 2
2026-09-12,Walsall,Rochdale,League 2
2026-09-12,York City,Swindon Town,League 2
2026-09-19,Accrington Stanley,Newport County,League 2
2026-09-19,Barnet,Fleetwood Town,League 2
2026-09-19,Chesterfield,York City,League 2
2026-09-19,Colchester United,Cheltenham Town,League 2
2026-09-19,Crewe Alexandra,Shrewsbury Town,League 2
2026-09-19,Exeter City,Tranmere Rovers,League 2
2026-09-19,Gillingham,Bristol Rovers,League 2
2026-09-19,Grimsby Town,Crawley Town,League 2
2026-09-19,Northampton Town,Rotherham United,League 2
2026-09-19,Rochdale,Oldham Athletic,League 2
2026-09-19,Salford City,Swindon Town,League 2
2026-09-19,Walsall,Port Vale,League 2
2026-09-26,Bristol Rovers,Exeter City,League 2
2026-09-26,Cheltenham Town,Chesterfield,League 2
2026-09-26,Crawley Town,Barnet,League 2
2026-09-26,Fleetwood Town,Rochdale,League 2
2026-09-26,Newport County,Grimsby Town,League 2
2026-09-26,Oldham Athletic,Salford City,League 2
2026-09-26,Port Vale,Northampton Town,League 2
2026-09-26,Rotherham United,Crewe Alexandra,League 2
2026-09-26,Shrewsbury Town,Colchester United,League 2
2026-09-26,Swindon Town,Accrington Stanley,League 2
2026-09-26,Tranmere Rovers,Walsall,League 2
2026-09-26,York City,Gillingham,League 2
2026-09-04,Altrincham,Eastleigh,National League
2026-09-05,AFC Fylde,Worthing,National League
2026-09-05,Aldershot Town,FC Halifax Town,National League
2026-09-05,Barrow,Sutton United,National League
2026-09-05,Boreham Wood,Carlisle United,National League
2026-09-05,Gateshead,Solihull Moors,National League
2026-09-05,Hartlepool United,Woking,National League
2026-09-05,Hornchurch,Forest Green Rovers,National League
2026-09-05,Scunthorpe United,Harrogate Town,National League
2026-09-05,Southend United,Yeovil Town,National League
2026-09-05,Tamworth,Boston United,National League
2026-09-05,Wealdstone,Kidderminster Harriers,National League
2026-09-11,Kidderminster Harriers,Hartlepool United,National League
2026-09-12,Boston United,Wealdstone,National League
2026-09-12,Carlisle United,Southend United,National League
2026-09-12,Eastleigh,Boreham Wood,National League
2026-09-12,FC Halifax Town,Hornchurch,National League
2026-09-12,Forest Green Rovers,Gateshead,National League
2026-09-12,Harrogate Town,Tamworth,National League
2026-09-12,Solihull Moors,Aldershot Town,National League
2026-09-12,Sutton United,Scunthorpe United,National League
2026-09-12,Woking,Altrincham,National League
2026-09-12,Worthing,Barrow,National League
2026-09-12,Yeovil Town,AFC Fylde,National League
2026-09-18,Yeovil Town,Solihull Moors,National League
2026-09-19,AFC Fylde,Altrincham,National League
2026-09-19,Barrow,Aldershot Town,National League
2026-09-19,Boreham Wood,Harrogate Town,National League
2026-09-19,Eastleigh,Carlisle United,National League
2026-09-19,FC Halifax Town,Sutton United,National League
2026-09-19,Forest Green Rovers,Boston United,National League
2026-09-19,Gateshead,Southend United,National League
2026-09-19,Hartlepool United,Worthing,National League
2026-09-19,Hornchurch,Scunthorpe United,National League
2026-09-19,Tamworth,Wealdstone,National League
2026-09-19,Woking,Kidderminster Harriers,National League
2026-09-26,Aldershot Town,Tamworth,National League
2026-09-26,Altrincham,Hornchurch,National League
2026-09-26,Boston United,AFC Fylde,National League
2026-09-26,Carlisle United,Woking,National League
2026-09-26,Harrogate Town,Eastleigh,National League
2026-09-26,Kidderminster Harriers,Yeovil Town,National League
2026-09-26,Scunthorpe United,Hartlepool United,National League
2026-09-26,Solihull Moors,Boreham Wood,National League
2026-09-26,Southend United,Barrow,National League
2026-09-26,Sutton United,Forest Green Rovers,National League
2026-09-26,Wealdstone,Gateshead,National League
2026-09-26,Worthing,FC Halifax Town,National League
2026-09-05,Aberdeen,Kilmarnock,Scottish Premier League
2026-09-05,Dundee United,Falkirk,Scottish Premier League
2026-09-05,Rangers,Motherwell,Scottish Premier League
2026-09-05,St Mirren,Celtic,Scottish Premier League
2026-09-06,Heart of Midlothian,Dundee,Scottish Premier League
2026-09-06,St Johnstone,Hibernian,Scottish Premier League
2026-09-19,Dundee,Motherwell,Scottish Premier League
2026-09-19,Hibernian,Aberdeen,Scottish Premier League
2026-09-19,Kilmarnock,Heart of Midlothian,Scottish Premier League
2026-09-19,St Johnstone,Falkirk,Scottish Premier League
2026-09-19,St Mirren,Dundee United,Scottish Premier League
2026-09-20,Celtic,Rangers,Scottish Premier League
2026-09-04,Livingston,Stenhousemuir,Scottish Championship
2026-09-05,Arbroath,Dunfermline Athletic,Scottish Championship
2026-09-05,Inverness Caledonian Thistle,Raith Rovers,Scottish Championship
2026-09-05,Partick Thistle,Ayr United,Scottish Championship
2026-09-05,Queens Park,Greenock Morton,Scottish Championship
2026-09-11,Greenock Morton,Livingston,Scottish Championship
2026-09-12,Ayr United,Inverness Caledonian Thistle,Scottish Championship
2026-09-12,Dunfermline Athletic,Queens Park,Scottish Championship
2026-09-12,Raith Rovers,Arbroath,Scottish Championship
2026-09-18,Queens Park,Ayr United,Scottish Championship
2026-09-19,Greenock Morton,Dunfermline Athletic,Scottish Championship
2026-09-19,Livingston,Inverness Caledonian Thistle,Scottish Championship
2026-09-19,Partick Thistle,Raith Rovers,Scottish Championship
2026-09-19,Stenhousemuir,Arbroath,Scottish Championship
2026-09-25,Arbroath,Queens Park,Scottish Championship
2026-09-25,Ayr United,Stenhousemuir,Scottish Championship
2026-09-25,Dunfermline Athletic,Partick Thistle,Scottish Championship
2026-09-25,Inverness Caledonian Thistle,Greenock Morton,Scottish Championship
2026-09-25,Raith Rovers,Livingston,Scottish Championship
2026-09-05,Cove Rangers,Alloa Athletic,Scottish League 1
2026-09-05,East Fife,Ross County,Scottish League 1
2026-09-05,East Kilbride,Hamilton Academical,Scottish League 1
2026-09-05,Peterhead,Montrose,Scottish League 1
2026-09-05,Queen of the South,Airdrieonians,Scottish League 1
2026-09-12,Airdrieonians,Alloa Athletic,Scottish League 1
2026-09-12,East Kilbride,Peterhead,Scottish League 1
2026-09-12,Montrose,Cove Rangers,Scottish League 1
2026-09-12,Queen of the South,East Fife,Scottish League 1
2026-09-19,Alloa Athletic,East Kilbride,Scottish League 1
2026-09-19,Cove Rangers,Ross County,Scottish League 1
2026-09-19,East Fife,Montrose,Scottish League 1
2026-09-19,Hamilton Academical,Queen of the South,Scottish League 1
2026-09-19,Peterhead,Airdrieonians,Scottish League 1
2026-09-05,Clyde,Edinburgh City,Scottish League 2
2026-09-05,Dumbarton,Elgin City,Scottish League 2
2026-09-05,Forfar Athletic,Stranraer,Scottish League 2
2026-09-05,Kelty Hearts,Annan Athletic,Scottish League 2
2026-09-05,Stirling Albion,Spartans,Scottish League 2
2026-09-12,Annan Athletic,Elgin City,Scottish League 2
2026-09-12,Clyde,Kelty Hearts,Scottish League 2
2026-09-12,Edinburgh City,Stirling Albion,Scottish League 2
2026-09-12,Spartans,Forfar Athletic,Scottish League 2
2026-09-12,Stranraer,Dumbarton,Scottish League 2
2026-09-19,Dumbarton,Spartans,Scottish League 2
2026-09-19,Elgin City,Stranraer,Scottish League 2
2026-09-19,Forfar Athletic,Annan Athletic,Scottish League 2
2026-09-19,Kelty Hearts,Edinburgh City,Scottish League 2
2026-09-19,Stirling Albion,Clyde,Scottish League 2
