Date,Home,Away,League
2026-08-31,Yeovil Town,Tamworth,National League
2026-08-22,Dundee United,Dundee,Scottish Premier League
2026-08-22,Hibernian,Kilmarnock - Postponed,Scottish Premier League
2026-08-22,Motherwell,Aberdeen - Postponed,Scottish Premier League
2026-08-29,Celtic,Falkirk,Scottish Premier League
2026-08-29,Heart of Midlothian,St Johnstone,Scottish Premier League
2026-08-29,Kilmarnock,Dundee United,Scottish Premier League
2026-08-30,Aberdeen,Rangers,Scottish Premier League
2026-08-30,Dundee,Hibernian,Scottish Premier League
2026-08-30,St Mirren,Motherwell,Scottish Premier League
2026-08-21,Inverness Caledonian Thistle,Partick Thistle,Scottish Championship
2026-08-22,Greenock Morton,Arbroath,Scottish Championship
2026-08-22,Livingston,Dunfermline Athletic,Scottish Championship
2026-08-22,Queens Park,Stenhousemuir,Scottish Championship
2026-08-22,Raith Rovers,Ayr United,Scottish Championship
2026-08-28,Dunfermline Athletic,Raith Rovers,Scottish Championship
2026-08-29,Arbroath,Livingston,Scottish Championship
2026-08-29,Ayr United,Greenock Morton,Scottish Championship
2026-08-29,Partick Thistle,Queens Park,Scottish Championship
2026-08-29,Stenhousemuir,Inverness Caledonian Thistle,Scottish Championship
2026-08-22,Airdrieonians,Ross County,Scottish League 1
2026-08-22,Cove Rangers,Peterhead,Scottish League 1
2026-08-22,East Fife,Hamilton Academical,Scottish League 1
2026-08-22,Montrose,East Kilbride,Scottish League 1
2026-08-22,Queen of the South,Alloa Athletic,Scottish League 1
2026-08-29,Airdrieonians,East Fife,Scottish League 1
2026-08-29,Alloa Athletic,Peterhead,Scottish League 1
2026-08-29,Hamilton Academical,Cove Rangers,Scottish League 1
2026-08-29,Montrose,Queen of the South,Scottish League 1
2026-08-29,Ross County,East Kilbride,Scottish League 1
2026-08-22,Clyde,Forfar Athletic,Scottish League 2
2026-08-22,Edinburgh City,Annan Athletic,Scottish League 2
2026-08-22,Kelty Hearts,Dumbarton,Scottish League 2
2026-08-22,Spartans,Elgin City,Scottish League 2
2026-08-22,Stirling Albion,Stranraer,Scottish League 2
2026-08-28,Edinburgh City,Forfar Athletic,Scottish League 2
2026-08-29,Annan Athletic,Dumbarton,Scottish League 2
2026-08-29,Elgin City,Stirling Albion,Scottish League 2
2026-08-29,Spartans,Clyde,Scottish League 2
2026-08-29,Stranraer,Kelty Hearts,Scottish League 2
